log_id,project_id,employee_id,date_logged,task_category,subtask_description,hours_worked
1,P-2023-001,EMP-10,2023-10-27,Design,MEP System Planning,2.01
2,P-2023-001,EMP-11,2023-09-21,Design,Structural Concept,2.16
3,P-2023-001,EMP-08,2023-09-24,Design,Material Specification Review,1.77
4,P-2023-001,EMP-11,2023-10-22,Design,Facade/Exterior Detailing,3.87
5,P-2023-001,EMP-11,2023-11-28,Design,Facade/Exterior Detailing,4.04
6,P-2023-001,EMP-05,2023-09-24,Design,MEP System Planning,0.86
7,P-2023-001,EMP-09,2023-09-15,Design,MEP System Planning,3.15
8,P-2023-001,EMP-04,2023-10-30,Design,Material Specification Review,2.63
9,P-2023-001,EMP-11,2023-11-29,Design,MEP System Planning,1.86
10,P-2023-001,EMP-07,2023-11-01,Design,MEP System Planning,4.68
11,P-2023-001,EMP-01,2023-10-29,Design,MEP System Planning,2.52
12,P-2023-001,EMP-08,2023-10-22,Design,MEP System Planning,0.66
13,P-2023-001,EMP-04,2023-10-09,Design,MEP System Planning,1.01
14,P-2023-001,EMP-10,2023-10-19,Design,MEP System Planning,3.55
15,P-2023-001,EMP-05,2023-10-05,Design,MEP System Planning,2.71
16,P-2023-001,EMP-10,2023-12-02,Design,MEP System Planning,3.25
17,P-2023-001,EMP-04,2023-10-30,Design,Architectural Layout,1.05
18,P-2023-001,EMP-08,2023-10-17,Design,Facade/Exterior Detailing,3.57
19,P-2023-001,EMP-01,2023-10-12,Design,Material Specification Review,2.1
20,P-2023-001,EMP-06,2023-10-01,Design,Material Specification Review,3.1
21,P-2023-001,EMP-08,2023-10-04,Design,Architectural Layout,2.89
22,P-2023-001,EMP-09,2023-11-11,Design,Facade/Exterior Detailing,1.34
23,P-2023-001,EMP-04,2023-10-12,Design,Material Specification Review,3.86
24,P-2023-001,EMP-06,2023-11-24,Design,MEP System Planning,3.12
25,P-2023-001,EMP-11,2023-11-11,Calculation,Structural Analysis (Beam/Column Sizing),2.7
26,P-2023-001,EMP-06,2023-09-20,Calculation,Structural Analysis (Beam/Column Sizing),2.61
27,P-2023-001,EMP-05,2023-12-03,Calculation,Load Calculations (Wind/Seismic),1.74
28,P-2023-001,EMP-11,2023-11-12,Calculation,Energy Modeling,2.12
29,P-2023-001,EMP-06,2023-11-06,Calculation,Cost Estimation Review,2.07
30,P-2023-001,EMP-06,2023-10-27,Calculation,Structural Analysis (Beam/Column Sizing),4.0
31,P-2023-001,EMP-03,2023-10-10,Calculation,Structural Analysis (Beam/Column Sizing),2.98
32,P-2023-001,EMP-04,2023-11-03,Calculation,Structural Analysis (Beam/Column Sizing),2.17
33,P-2023-001,EMP-03,2023-10-04,Calculation,Cost Estimation Review,2.66
34,P-2023-001,EMP-10,2023-09-13,Calculation,Permit Fee Calculation,2.04
35,P-2023-001,EMP-01,2023-10-08,Calculation,Cost Estimation Review,2.35
36,P-2023-001,EMP-11,2023-11-29,Calculation,Energy Modeling,4.1
37,P-2023-001,EMP-05,2023-10-24,Calculation,Cost Estimation Review,2.53
38,P-2023-001,EMP-05,2023-10-26,Calculation,Cost Estimation Review,1.87
39,P-2023-001,EMP-06,2023-11-07,Calculation,Structural Analysis (Beam/Column Sizing),1.77
40,P-2023-001,EMP-07,2023-11-27,Calculation,Energy Modeling,3.17
41,P-2023-001,EMP-02,2023-09-20,Calculation,Energy Modeling,3.21
42,P-2023-001,EMP-08,2023-10-18,Calculation,Permit Fee Calculation,4.32
43,P-2023-001,EMP-06,2023-09-21,Calculation,Permit Fee Calculation,5.07
44,P-2023-001,EMP-11,2023-11-18,Drafting,Detail Sheet Generation,2.86
45,P-2023-001,EMP-05,2023-11-27,Drafting,Section Drawings,2.64
46,P-2023-001,EMP-10,2023-11-07,Drafting,3D Model Adjustments,3.32
47,P-2023-001,EMP-08,2023-09-11,Drafting,Foundation Plan Updates,0.96
48,P-2023-001,EMP-08,2023-10-12,Drafting,Detail Sheet Generation,2.12
49,P-2023-001,EMP-05,2023-09-11,Drafting,Detail Sheet Generation,3.05
50,P-2023-001,EMP-03,2023-11-15,Drafting,Section Drawings,3.5
51,P-2023-001,EMP-10,2023-09-12,Drafting,Detail Sheet Generation,1.9
52,P-2023-001,EMP-05,2023-09-11,Drafting,Markup Cleanup,3.6
53,P-2023-001,EMP-09,2023-10-14,Drafting,Markup Cleanup,1.47
54,P-2023-001,EMP-02,2023-11-15,Drafting,Section Drawings,2.66
55,P-2023-001,EMP-08,2023-11-01,Drafting,3D Model Adjustments,1.37
56,P-2023-001,EMP-10,2023-11-30,Drafting,Foundation Plan Updates,2.62
57,P-2023-001,EMP-10,2023-10-01,Drafting,Foundation Plan Updates,2.25
58,P-2023-001,EMP-07,2023-09-26,Drafting,Section Drawings,2.24
59,P-2023-001,EMP-01,2023-11-10,Drafting,3D Model Adjustments,1.81
60,P-2023-001,EMP-09,2023-12-02,Drafting,3D Model Adjustments,3.98
61,P-2023-001,EMP-04,2023-11-03,Drafting,Section Drawings,1.97
62,P-2023-001,EMP-04,2023-09-20,Drafting,Foundation Plan Updates,2.26
63,P-2023-001,EMP-09,2023-11-30,Drafting,3D Model Adjustments,3.23
64,P-2023-001,EMP-09,2023-10-23,Drafting,Detail Sheet Generation,0.77
65,P-2023-001,EMP-06,2023-10-20,Drafting,Detail Sheet Generation,0.78
66,P-2023-001,EMP-06,2023-11-01,Drafting,Detail Sheet Generation,3.1
67,P-2023-001,EMP-06,2023-11-25,Drafting,Detail Sheet Generation,1.71
68,P-2023-001,EMP-07,2023-11-24,Drafting,3D Model Adjustments,3.95
69,P-2023-001,EMP-03,2023-11-19,Drafting,3D Model Adjustments,2.97
70,P-2023-001,EMP-01,2023-12-05,Drafting,Detail Sheet Generation,4.2
