log_id;project_id;employee_id;date_logged;task_category;hours_worked;project_type;material_type;surface_area_m2;num_levels;start_date;end_date;is_winter;floor_area_ratio
1;P-2022-001;EMP-7;29/08/2022;Calculation;24.39;Institutional;Steel;3747;12;07/07/2022;17/04/2023;0;312.25
2;P-2022-001;EMP-1;29/10/2022;Site Visit;24.28;Institutional;Steel;3747;12;07/07/2022;17/04/2023;0;312.25
3;P-2022-001;EMP-8;07/11/2022;Calculation;21.66;Institutional;Steel;3747;12;07/07/2022;17/04/2023;0;312.25
4;P-2022-001;EMP-7;23/01/2023;Design;25.06;Institutional;Steel;3747;12;07/07/2022;17/04/2023;1;312.25
5;P-2022-001;EMP-11;09/10/2022;Meeting;22.53;Institutional;Steel;3747;12;07/07/2022;17/04/2023;0;312.25
6;P-2022-001;EMP-1;31/07/2022;Meeting;22.5;Institutional;Steel;3747;12;07/07/2022;17/04/2023;0;312.25
7;P-2022-001;EMP-6;23/02/2023;Design;22.82;Institutional;Steel;3747;12;07/07/2022;17/04/2023;1;312.25
8;P-2022-001;EMP-3;13/02/2023;Drafting;22.04;Institutional;Steel;3747;12;07/07/2022;17/04/2023;1;312.25
9;P-2022-001;EMP-10;27/12/2022;Site Visit;21.1;Institutional;Steel;3747;12;07/07/2022;17/04/2023;1;312.25
10;P-2022-001;EMP-2;16/02/2023;Site Visit;23.48;Institutional;Steel;3747;12;07/07/2022;17/04/2023;1;312.25
11;P-2022-001;EMP-1;20/09/2022;Drafting;22.69;Institutional;Steel;3747;12;07/07/2022;17/04/2023;0;312.25
12;P-2022-001;EMP-2;21/11/2022;Calculation;23.61;Institutional;Steel;3747;12;07/07/2022;17/04/2023;0;312.25
13;P-2022-001;EMP-4;06/09/2022;Calculation;26.36;Institutional;Steel;3747;12;07/07/2022;17/04/2023;0;312.25
14;P-2022-001;EMP-1;01/01/2023;Calculation;23.66;Institutional;Steel;3747;12;07/07/2022;17/04/2023;1;312.25
15;P-2022-001;EMP-2;31/10/2022;Site Visit;22.52;Institutional;Steel;3747;12;07/07/2022;17/04/2023;0;312.25
16;P-2022-001;EMP-2;10/07/2022;Design;24.4;Institutional;Steel;3747;12;07/07/2022;17/04/2023;0;312.25
17;P-2022-001;EMP-4;28/01/2023;Meeting;20.04;Institutional;Steel;3747;12;07/07/2022;17/04/2023;1;312.25
18;P-2022-001;EMP-4;11/11/2022;Meeting;23.43;Institutional;Steel;3747;12;07/07/2022;17/04/2023;0;312.25
19;P-2022-001;EMP-5;11/08/2022;Site Visit;23.24;Institutional;Steel;3747;12;07/07/2022;17/04/2023;0;312.25
20;P-2022-001;EMP-9;18/01/2023;Drafting;26.16;Institutional;Steel;3747;12;07/07/2022;17/04/2023;1;312.25
21;P-2022-001;EMP-7;18/03/2023;Drafting;23.56;Institutional;Steel;3747;12;07/07/2022;17/04/2023;1;312.25
22;P-2022-001;EMP-4;11/11/2022;Drafting;21.46;Institutional;Steel;3747;12;07/07/2022;17/04/2023;0;312.25
23;P-2022-001;EMP-7;28/01/2023;Site Visit;21.69;Institutional;Steel;3747;12;07/07/2022;17/04/2023;1;312.25
24;P-2022-001;EMP-7;17/09/2022;Site Visit;23.75;Institutional;Steel;3747;12;07/07/2022;17/04/2023;0;312.25
25;P-2022-001;EMP-8;25/02/2023;Design;23.85;Institutional;Steel;3747;12;07/07/2022;17/04/2023;1;312.25
26;P-2022-001;EMP-9;18/08/2022;Calculation;24.9;Institutional;Steel;3747;12;07/07/2022;17/04/2023;0;312.25
27;P-2022-001;EMP-9;17/02/2023;Site Visit;21.67;Institutional;Steel;3747;12;07/07/2022;17/04/2023;1;312.25
28;P-2022-001;EMP-8;31/08/2022;Calculation;22.16;Institutional;Steel;3747;12;07/07/2022;17/04/2023;0;312.25
29;P-2022-001;EMP-2;05/08/2022;Site Visit;25.13;Institutional;Steel;3747;12;07/07/2022;17/04/2023;0;312.25
30;P-2022-001;EMP-4;26/12/2022;Drafting;24.1;Institutional;Steel;3747;12;07/07/2022;17/04/2023;1;312.25
31;P-2022-001;EMP-8;14/03/2023;Calculation;20.97;Institutional;Steel;3747;12;07/07/2022;17/04/2023;1;312.25
32;P-2022-001;EMP-1;26/10/2022;Site Visit;23.27;Institutional;Steel;3747;12;07/07/2022;17/04/2023;0;312.25
33;P-2022-001;EMP-4;30/03/2023;Drafting;23.52;Institutional;Steel;3747;12;07/07/2022;17/04/2023;1;312.25
34;P-2022-001;EMP-6;25/11/2022;Design;21.82;Institutional;Steel;3747;12;07/07/2022;17/04/2023;0;312.25
35;P-2022-001;EMP-11;29/03/2023;Design;22.03;Institutional;Steel;3747;12;07/07/2022;17/04/2023;1;312.25
36;P-2022-001;EMP-1;13/11/2022;Calculation;21.38;Institutional;Steel;3747;12;07/07/2022;17/04/2023;0;312.25
37;P-2022-001;EMP-1;02/10/2022;Design;22.75;Institutional;Steel;3747;12;07/07/2022;17/04/2023;0;312.25
38;P-2022-001;EMP-6;03/03/2023;Calculation;21.34;Institutional;Steel;3747;12;07/07/2022;17/04/2023;1;312.25
39;P-2022-001;EMP-2;15/04/2023;Meeting;23.57;Institutional;Steel;3747;12;07/07/2022;17/04/2023;0;312.25
