log_id;project_id;employee_id;date_logged;task_category;hours_worked
1;P-2022-001;EMP-7;29/08/2022;Calculation;24.39
2;P-2022-001;EMP-1;29/10/2022;Site Visit;24.28
3;P-2022-001;EMP-8;07/11/2022;Calculation;21.66
4;P-2022-001;EMP-7;23/01/2023;Design;25.06
5;P-2022-001;EMP-11;09/10/2022;Meeting;22.53
6;P-2022-001;EMP-1;31/07/2022;Meeting;22.5
7;P-2022-001;EMP-6;23/02/2023;Design;22.82
8;P-2022-001;EMP-3;13/02/2023;Drafting;22.04
9;P-2022-001;EMP-10;27/12/2022;Site Visit;21.1
10;P-2022-001;EMP-2;16/02/2023;Site Visit;23.48
11;P-2022-001;EMP-1;20/09/2022;Drafting;22.69
12;P-2022-001;EMP-2;21/11/2022;Calculation;23.61
13;P-2022-001;EMP-4;06/09/2022;Calculation;26.36
14;P-2022-001;EMP-1;01/01/2023;Calculation;23.66
15;P-2022-001;EMP-2;31/10/2022;Site Visit;22.52
16;P-2022-001;EMP-2;10/07/2022;Design;24.4
17;P-2022-001;EMP-4;28/01/2023;Meeting;20.04
18;P-2022-001;EMP-4;11/11/2022;Meeting;23.43
19;P-2022-001;EMP-5;11/08/2022;Site Visit;23.24
20;P-2022-001;EMP-9;18/01/2023;Drafting;26.16
21;P-2022-001;EMP-7;18/03/2023;Drafting;23.56
22;P-2022-001;EMP-4;11/11/2022;Drafting;21.46
23;P-2022-001;EMP-7;28/01/2023;Site Visit;21.69
24;P-2022-001;EMP-7;17/09/2022;Site Visit;23.75
25;P-2022-001;EMP-8;25/02/2023;Design;23.85
26;P-2022-001;EMP-9;18/08/2022;Calculation;24.9
27;P-2022-001;EMP-9;17/02/2023;Site Visit;21.67
28;P-2022-001;EMP-8;31/08/2022;Calculation;22.16
29;P-2022-001;EMP-2;05/08/2022;Site Visit;25.13
30;P-2022-001;EMP-4;26/12/2022;Drafting;24.1
31;P-2022-001;EMP-8;14/03/2023;Calculation;20.97
32;P-2022-001;EMP-1;26/10/2022;Site Visit;23.27
33;P-2022-001;EMP-4;30/03/2023;Drafting;23.52
34;P-2022-001;EMP-6;25/11/2022;Design;21.82
35;P-2022-001;EMP-11;29/03/2023;Design;22.03
36;P-2022-001;EMP-1;13/11/2022;Calculation;21.38
37;P-2022-001;EMP-1;02/10/2022;Design;22.75
38;P-2022-001;EMP-6;03/03/2023;Calculation;21.34
39;P-2022-001;EMP-2;15/04/2023;Meeting;23.57
40;P-2022-001;EMP-3;03/09/2022;Calculation;22.91
41;P-2022-001;EMP-1;14/01/2023;Site Visit;22.4
42;P-2022-001;EMP-3;07/07/2022;Design;25.96
43;P-2022-001;EMP-6;05/03/2023;Design;24.26
44;P-2022-001;EMP-6;04/10/2022;Drafting;22.19
45;P-2022-001;EMP-3;08/11/2022;Calculation;24.32
46;P-2022-001;EMP-8;30/12/2022;Meeting;23.61
47;P-2022-001;EMP-11;09/07/2022;Design;22.62
48;P-2022-001;EMP-1;13/01/2023;Meeting;23.23
49;P-2022-001;EMP-9;21/10/2022;Site Visit;20.52
50;P-2022-001;EMP-3;18/11/2022;Calculation;24.59
51;P-2022-001;EMP-9;14/01/2023;Meeting;21.25
52;P-2022-001;EMP-5;14/12/2022;Meeting;23.83
53;P-2022-002;EMP-8;27/04/2022;Meeting;0.5
54;P-2022-002;EMP-11;29/04/2022;Drafting;3.25
55;P-2022-002;EMP-6;28/04/2022;Site Visit;3.56
56;P-2022-002;EMP-5;10/04/2022;Drafting;3.66
57;P-2022-002;EMP-10;28/04/2022;Calculation;3.15
58;P-2022-002;EMP-4;12/04/2022;Design;3.39
59;P-2022-002;EMP-7;01/05/2022;Site Visit;0.5
60;P-2022-002;EMP-2;29/04/2022;Calculation;1.27
61;P-2022-002;EMP-6;21/04/2022;Design;5.09
62;P-2022-002;EMP-5;09/04/2022;Drafting;0.5
63;P-2022-002;EMP-9;12/04/2022;Site Visit;3.98
64;P-2022-002;EMP-10;30/04/2022;Design;0.5
65;P-2022-002;EMP-4;01/05/2022;Design;4.69
66;P-2022-002;EMP-2;27/04/2022;Meeting;4.08
67;P-2022-002;EMP-5;19/04/2022;Site Visit;2.71
68;P-2022-002;EMP-11;18/04/2022;Site Visit;1.32
69;P-2022-002;EMP-4;10/04/2022;Meeting;3.2
70;P-2022-002;EMP-5;24/04/2022;Calculation;2.58
71;P-2022-002;EMP-8;20/04/2022;Site Visit;2.97
72;P-2022-002;EMP-10;23/04/2022;Calculation;0.94
73;P-2022-002;EMP-6;25/04/2022;Drafting;3.46
74;P-2022-002;EMP-11;19/04/2022;Site Visit;2.83
75;P-2022-003;EMP-9;23/10/2022;Meeting;3.37
76;P-2022-003;EMP-7;18/11/2022;Calculation;7.46
77;P-2022-003;EMP-9;28/10/2022;Drafting;4.83
78;P-2022-003;EMP-2;16/12/2022;Calculation;5.89
79;P-2022-003;EMP-10;16/12/2022;Design;5.12
80;P-2022-003;EMP-10;20/11/2022;Calculation;5.55
81;P-2022-003;EMP-11;17/12/2022;Site Visit;5.83
82;P-2022-003;EMP-1;28/10/2022;Design;5.49
83;P-2022-003;EMP-1;14/11/2022;Drafting;7.03
84;P-2022-003;EMP-2;15/12/2022;Design;4.93
85;P-2022-003;EMP-5;26/10/2022;Drafting;5.08
86;P-2022-003;EMP-6;30/11/2022;Meeting;5.51
87;P-2022-003;EMP-11;01/12/2022;Design;6.15
88;P-2022-003;EMP-7;14/11/2022;Design;3.29
89;P-2022-003;EMP-7;31/10/2022;Meeting;4.54
90;P-2022-003;EMP-8;30/10/2022;Site Visit;5.24
91;P-2022-003;EMP-1;17/11/2022;Meeting;5.23
92;P-2022-003;EMP-6;15/11/2022;Meeting;4.3
93;P-2022-003;EMP-10;30/10/2022;Site Visit;3.73
94;P-2022-003;EMP-7;25/10/2022;Meeting;4.31
95;P-2022-003;EMP-4;10/12/2022;Meeting;5.43
96;P-2022-003;EMP-2;01/11/2022;Drafting;4.3
97;P-2022-003;EMP-1;07/11/2022;Design;4.46
98;P-2022-003;EMP-7;13/12/2022;Drafting;6.02
99;P-2022-003;EMP-1;09/11/2022;Calculation;4.21
100;P-2022-003;EMP-7;17/12/2022;Design;5.59
101;P-2022-003;EMP-7;19/11/2022;Drafting;7.61
102;P-2022-003;EMP-6;23/11/2022;Site Visit;7.18
103;P-2022-003;EMP-8;12/11/2022;Calculation;2.99
104;P-2022-003;EMP-11;11/12/2022;Design;4.99
105;P-2022-003;EMP-10;14/12/2022;Site Visit;5.75
106;P-2022-003;EMP-6;06/12/2022;Drafting;6.0
107;P-2022-003;EMP-7;28/10/2022;Drafting;5.78
108;P-2022-003;EMP-7;26/10/2022;Site Visit;4.84
109;P-2022-003;EMP-2;19/12/2022;Site Visit;4.13
110;P-2022-003;EMP-8;17/12/2022;Design;3.43
111;P-2022-003;EMP-6;03/12/2022;Design;3.75
112;P-2022-003;EMP-7;22/11/2022;Site Visit;6.86
113;P-2022-003;EMP-8;29/11/2022;Calculation;9.03
114;P-2022-003;EMP-4;20/10/2022;Meeting;1.48
115;P-2022-003;EMP-8;27/10/2022;Design;4.64
116;P-2022-003;EMP-9;01/12/2022;Drafting;3.61
117;P-2022-003;EMP-2;01/11/2022;Meeting;4.48
118;P-2022-003;EMP-3;17/12/2022;Design;4.31
119;P-2022-003;EMP-10;29/10/2022;Meeting;4.99
120;P-2022-003;EMP-2;25/11/2022;Site Visit;4.79
121;P-2022-003;EMP-4;28/10/2022;Meeting;5.97
122;P-2022-004;EMP-1;24/10/2022;Drafting;0.74
123;P-2022-004;EMP-10;30/10/2022;Meeting;3.96
124;P-2022-004;EMP-10;24/10/2022;Meeting;3.06
125;P-2022-004;EMP-4;27/11/2022;Site Visit;2.25
126;P-2022-004;EMP-8;11/11/2022;Meeting;1.71
127;P-2022-004;EMP-3;22/10/2022;Site Visit;3.18
128;P-2022-004;EMP-5;24/11/2022;Calculation;1.09
129;P-2022-004;EMP-2;06/11/2022;Drafting;3.53
130;P-2022-004;EMP-8;09/11/2022;Design;1.39
131;P-2022-004;EMP-3;10/11/2022;Design;0.79
132;P-2022-004;EMP-1;04/11/2022;Meeting;0.5
133;P-2022-004;EMP-3;01/11/2022;Design;2.11
134;P-2022-004;EMP-11;29/10/2022;Calculation;1.64
135;P-2022-004;EMP-2;04/11/2022;Calculation;1.11
136;P-2022-004;EMP-8;03/11/2022;Design;0.66
137;P-2022-004;EMP-6;18/11/2022;Calculation;0.5
138;P-2022-004;EMP-4;03/11/2022;Design;5.35
139;P-2022-004;EMP-5;29/11/2022;Design;2.71
140;P-2022-004;EMP-8;24/11/2022;Calculation;3.57
