log_id;project_id;employee_id;date_logged;task_category;subtask_description;hours_worked
1;P-2022-001;EMP-4;05/04/2023;Meeting;Architectural Layout;3.03
2;P-2022-001;EMP-10;08/05/2023;Site Visit;Architectural Layout;2.14
3;P-2022-001;EMP-6;17/02/2023;Drafting;Material Specification Review;0.5
4;P-2022-001;EMP-8;02/12/2022;Meeting;MEP System Planning;1.81
5;P-2022-001;EMP-5;31/05/2023;Meeting;Architectural Layout;2.22
6;P-2022-001;EMP-1;21/02/2023;Site Visit;Architectural Layout;0.5
7;P-2022-001;EMP-4;10/04/2023;Meeting;Architectural Layout;1.52
8;P-2022-001;EMP-1;28/12/2022;Site Visit;Structural Concept;1.23
9;P-2022-001;EMP-1;15/10/2022;Meeting;Structural Concept;1.16
10;P-2022-001;EMP-3;25/06/2023;Design;MEP System Planning;2.7
11;P-2022-001;EMP-11;22/06/2023;Calculation;Structural Concept;0.5
12;P-2022-001;EMP-2;18/11/2022;Calculation;Architectural Layout;0.5
13;P-2022-001;EMP-8;17/12/2022;Design;Architectural Layout;0.5
14;P-2022-001;EMP-6;06/03/2023;Calculation;Architectural Layout;0.5
15;P-2022-001;EMP-4;24/04/2023;Design;Structural Concept;3.01
16;P-2022-001;EMP-6;02/06/2023;Design;Architectural Layout;0.37
17;P-2022-001;EMP-8;04/11/2022;Calculation;Material Specification Review;0.5
18;P-2022-001;EMP-10;19/11/2022;Meeting;Facade/Exterior Detailing;0.5
19;P-2022-001;EMP-7;15/03/2023;Calculation;MEP System Planning;3.04
20;P-2022-001;EMP-11;04/01/2023;Design;Structural Concept;0.5
21;P-2022-001;EMP-9;23/06/2023;Calculation;Facade/Exterior Detailing;0.5
22;P-2022-001;EMP-7;20/01/2023;Drafting;Material Specification Review;0.81
23;P-2022-001;EMP-5;11/04/2023;Design;Material Specification Review;1.11
24;P-2022-001;EMP-11;11/12/2022;Design;Architectural Layout;0.8
25;P-2022-001;EMP-10;02/10/2022;Design;MEP System Planning;2.06
26;P-2022-001;EMP-8;21/03/2023;Meeting;Structural Concept;0.65
