log_id,project_id,employee_id,date_logged,task_category,subtask_description,hours_worked
1,P-2024-001,EMP-2,2024-12-12,Design,Structural Concept,0.49
2,P-2024-001,EMP-5,2025-02-15,Design,MEP System Planning,3.39
3,P-2024-001,EMP-5,2025-02-11,Design,Facade/Exterior Detailing,3.23
4,P-2024-001,EMP-10,2024-12-27,Design,MEP System Planning,3.14
5,P-2024-001,EMP-1,2025-01-04,Design,Architectural Layout,3.48
6,P-2024-001,EMP-4,2024-12-12,Design,Architectural Layout,4.14
7,P-2024-001,EMP-6,2025-02-10,Design,Structural Concept,3.39
8,P-2024-001,EMP-1,2025-02-21,Design,MEP System Planning,1.92
9,P-2024-001,EMP-2,2025-01-19,Design,Structural Concept,3.92
10,P-2024-001,EMP-4,2025-01-30,Design,Material Specification Review,3.68
11,P-2024-001,EMP-7,2024-12-25,Design,MEP System Planning,4.18
12,P-2024-001,EMP-1,2025-02-12,Design,Structural Concept,4.41
13,P-2024-001,EMP-3,2025-02-11,Design,Material Specification Review,4.88
14,P-2024-001,EMP-4,2024-12-21,Design,MEP System Planning,2.6
15,P-2024-001,EMP-5,2025-01-03,Design,Structural Concept,3.95
16,P-2024-001,EMP-11,2025-01-13,Design,Material Specification Review,4.45
17,P-2024-001,EMP-2,2025-01-27,Design,Architectural Layout,1.42
18,P-2024-001,EMP-7,2025-01-02,Design,Architectural Layout,4.75
19,P-2024-001,EMP-7,2025-01-16,Design,Architectural Layout,3.25
20,P-2024-001,EMP-2,2025-02-15,Design,Material Specification Review,2.93
21,P-2024-001,EMP-4,2025-02-02,Design,Architectural Layout,3.45
22,P-2024-001,EMP-11,2025-01-05,Design,MEP System Planning,2.43
23,P-2024-001,EMP-11,2025-02-18,Design,Facade/Exterior Detailing,5.59
24,P-2024-001,EMP-1,2025-01-16,Design,Architectural Layout,4.95
25,P-2024-001,EMP-5,2025-01-06,Design,Architectural Layout,4.01
26,P-2024-001,EMP-9,2025-01-30,Design,Structural Concept,3.71
27,P-2024-001,EMP-5,2024-12-23,Design,Facade/Exterior Detailing,2.12
28,P-2024-001,EMP-11,2025-01-25,Design,Architectural Layout,3.1
29,P-2024-001,EMP-6,2025-02-17,Design,Structural Concept,2.44
30,P-2024-001,EMP-7,2025-02-13,Design,Structural Concept,2.36
31,P-2024-001,EMP-1,2025-02-02,Design,Structural Concept,4.46
32,P-2024-001,EMP-4,2025-02-11,Design,Architectural Layout,3.89
33,P-2024-001,EMP-8,2025-01-11,Design,MEP System Planning,4.28
34,P-2024-001,EMP-7,2025-02-11,Design,Architectural Layout,3.76
35,P-2024-001,EMP-3,2025-02-03,Design,Facade/Exterior Detailing,3.56
36,P-2024-001,EMP-8,2025-01-03,Design,MEP System Planning,3.24
37,P-2024-001,EMP-8,2025-01-05,Design,Architectural Layout,5.3
38,P-2024-001,EMP-5,2025-02-01,Design,Material Specification Review,4.35
39,P-2024-001,EMP-11,2025-01-01,Design,Structural Concept,2.19
40,P-2024-001,EMP-4,2025-01-19,Design,Facade/Exterior Detailing,4.15
41,P-2024-001,EMP-9,2025-02-08,Design,Material Specification Review,5.22
42,P-2024-001,EMP-8,2024-12-28,Design,Structural Concept,2.31
43,P-2024-001,EMP-6,2025-01-09,Design,Facade/Exterior Detailing,4.6
